144.60 46.93 390 0.69 2.34 -3.03 -2.90 -3.32 -2.19 24 X Y 201112091942A
141.89 31.73 12 3.20 0.20 -3.40 -0.33 1.26 -0.25 24 X Y 201112151512A
138.17 31.61 352 -0.37 -0.11 0.48 -0.26 -1.77 -0.52 26 X Y 201201010527A
141.25 37.06 16 -2.81 1.30 1.51 1.18 1.81 1.38 24 X Y 201201120320A
142.51 40.23 44 2.12 0.03 -2.15 0.91 1.74 -0.42 24 X Y 201201280022A
141.68 36.19 27 1.42 -0.32 -1.10 0.71 1.69 -0.75 24 X Y 201202140327A
141.73 36.17 26 4.56 -0.81 -3.75 2.48 5.22 -1.82 24 X Y 201202140621A
141.12 35.47 23 -1.95 0.56 1.39 2.77 0.62 1.15 24 X Y 201202291432A
147.87 45.09 125 0.22 0.97 -1.19 -1.16 -2.63 0.09 24 X Y 201203121232A
144.93 40.88 13 -3.50 3.11 0.38 -0.04 0.57 -0.13 26 X Y 201203140908A
144.90 40.91 19 -1.90 0.50 1.40 0.56 -0.16 0.52 25 X Y 201203141049A
140.89 35.83 23 -1.17 0.20 0.97 0.46 0.04 0.23 25 X Y 201203141205A
139.52 35.86 102 1.57 0.20 -1.77 -1.15 0.76 0.66 24 X Y 201203151920A
142.22 39.76 14 0.84 -0.66 -0.19 -0.66 -0.19 0.86 25 X Y 201203271100A
141.23 37.10 52 4.21 -0.69 -3.52 1.07 3.07 -1.56 24 X Y 201204011404A
141.66 37.48 14 -0.21 0.61 -0.40 0.69 0.51 1.72 24 X Y 201204121450A
141.35 36.98 12 -4.32 0.08 4.24 0.25 -0.15 1.62 24 X Y 201204131010A
140.80 35.68 45 1.92 0.08 -2.00 0.33 1.19 -0.37 24 X Y 201204242022A
140.71 35.62 48 5.09 0.26 -5.35 -0.51 4.20 -0.41 24 X Y 201204291028A
143.60 39.67 17 3.47 -0.01 -3.46 2.26 5.53 -0.61 24 X Y 201205191905A
143.58 39.61 17 2.06 0.03 -2.09 1.45 3.44 -0.34 25 X Y 201205200719A
143.41 39.72 15 0.68 -0.04 -0.64 0.84 2.06 -0.18 24 X Y 201205200820A
142.22 41.39 54 0.90 -0.03 -0.88 0.37 0.61 -0.23 25 X Y 201205231502A
141.21 34.96 15 0.34 -1.99 1.65 0.37 -0.48 -0.05 25 X Y 201206051931A
142.15 38.92 47 2.65 -0.06 -2.59 1.01 2.32 -0.58 25 X Y 201206172032A
142.86 42.39 50 4.85 -3.85 -1.00 -6.30 2.79 -0.46 24 X Y 201208251416A
143.30 39.86 21 0.73 0.02 -0.74 0.60 1.01 -0.20 25 X Y 201210012221A
141.91 38.35 51 2.39 -0.11 -2.28 1.18 1.82 -0.68 24 X Y 201210251032A
143.69 37.86 17 -1.58 -1.09 2.67 0.30 1.62 1.32 24 X Y 201211050430A
144.09 38.01 58 0.51 0.44 -0.95 0.08 -0.14 -0.16 27 X Y 201212070818A
143.83 37.77 20 -0.65 -0.12 0.76 0.04 0.12 0.31 27 X Y 201212070818B
143.90 37.94 25 -2.36 0.16 2.20 0.30 -0.08 1.04 25 X Y 201212070831A
142.24 38.79 44 1.63 -0.11 -1.53 0.71 1.33 -0.44 24 X Y 201212291459A
142.51 40.18 44 1.57 0.05 -1.62 0.73 1.26 -0.35 24 X Y 201301080751A
143.24 42.85 105 -0.33 0.67 -0.35 3.06 -0.16 0.21 26 X Y 201302021417A
141.00 35.22 25 0.60 -1.06 0.47 1.45 0.88 0.05 24 X Y 201302191227A
139.39 36.89 13 -0.55 3.26 -2.71 -0.50 -0.12 -5.55 24 X Y 201302250723A
143.23 39.56 23 0.60 -0.01 -0.59 0.39 0.78 -0.15 25 X Y 201304011853A
143.43 39.50 21 1.18 -0.04 -1.14 0.83 1.78 -0.28 24 X Y 201304020208A
131.02 42.77 572 0.66 -0.25 -0.41 0.10 -3.09 0.45 25 X Y 201304051300A
131.05 42.82 575 2.38 -0.86 -1.52 0.29 -5.18 1.01 24 X Y 201304060029A
134.69 34.43 18 0.57 0.02 -0.59 -0.04 -0.58 0.12 25 X Y 201304122033A
139.37 34.00 12 -0.34 -1.59 1.94 -0.44 -0.44 -4.66 24 X Y 201304170857A
141.70 38.51 56 0.77 -0.07 -0.70 0.20 0.59 -0.18 25 X Y 201304171203A
138.88 30.02 430 -1.34 1.58 -0.25 0.15 -1.02 0.56 25 X Y 201304210322A
141.19 35.73 34 2.58 -0.20 -2.38 0.83 2.37 -0.85 24 X Y 201304291301A
141.72 37.71 50 1.00 -0.14 -0.85 0.35 0.82 -0.36 25 X Y 201305180548A
141.83 38.23 54 0.67 0.09 -0.76 -0.02 -0.14 -0.10 25 X Y 201308040328A
145.22 46.97 378 1.17 3.11 -4.28 -4.68 -3.47 -1.78 24 X Y 201308041556A
133.65 42.19 455 -0.05 -0.21 0.26 0.06 -3.99 0.49 24 X Y 201309020251A
138.79 30.02 412 -2.80 2.56 0.23 2.41 -6.17 -1.64 25 X Y 201309040018A
144.66 37.17 25 -6.29 0.05 6.24 -1.38 -0.64 0.23 26 X Y 201310251710A
144.69 37.21 34 -5.89 1.63 4.26 -0.10 -0.24 0.54 24 X Y 201310252127A
144.53 37.21 32 -3.17 -0.17 3.34 0.73 0.84 0.69 24 X Y 201310271813A
140.21 35.95 65 2.88 0.24 -3.12 -0.27 1.63 -0.56 24 X Y 201311092237A
142.26 41.51 56 1.96 -0.07 -1.89 0.64 1.19 -0.77 24 X Y 201311150200A
140.26 35.57 58 2.13 0.22 -2.35 -0.24 0.48 -0.05 24 X Y 201311161144A
136.86 34.35 340 3.07 -0.44 -2.62 1.33 -2.82 0.74 24 X Y 201311181910A
149.24 44.53 28 0.33 -0.06 -0.28 1.55 0.45 -0.82 25 X Y 201312081724A
140.79 35.60 41 2.46 -0.22 -2.24 0.35 1.46 -1.03 24 X Y 201312140406A
140.79 35.61 45 2.26 -0.13 -2.13 -0.14 1.54 -0.36 24 X Y 201312210134A
142.23 35.52 12 1.50 -0.26 -1.25 0.44 1.15 -0.60 24 X Y 201312230657A
131.82 33.62 83 1.07 -0.37 -0.71 -1.06 3.00 -1.66 25 X Y 201403131706A
141.92 36.35 23 1.44 -0.15 -1.29 0.44 1.17 -0.50 24 X Y 201403290153A
144.22 37.91 12 -3.13 2.63 0.50 0.02 0.81 0.93 24 X Y 201405020915A
139.48 34.89 165 -0.35 -0.37 0.73 0.63 0.99 0.22 25 X Y 201405042018A
141.07 39.45 89 -1.22 -0.06 1.28 -0.90 -2.38 0.28 24 X Y 201406141731A
141.71 36.64 20 -3.24 0.31 2.93 0.20 0.22 0.61 24 X Y 201406151819A
141.21 37.12 53 3.22 -0.51 -2.71 0.82 2.22 -1.28 24 X Y 201406152014A
142.18 39.73 52 3.23 -0.01 -3.21 0.82 2.67 -0.65 24 X Y 201407042242A
142.39 36.97 12 -5.42 -0.83 6.25 -2.13 -4.31 2.13 25 X Y 201407111922A
148.94 44.63 67 2.11 0.43 -2.54 1.72 1.36 -0.69 25 X Y 201407201832A
142.37 41.25 49 1.32 0.03 -1.36 0.58 1.03 -0.35 25 X Y 201408100343A
132.11 32.07 28 5.19 -2.02 -3.17 2.94 5.41 -3.19 24 X Y 201408281914A
139.85 36.07 51 1.76 -1.20 -0.55 0.85 1.06 -0.75 24 X Y 201409160328A
142.68 40.23 37 2.76 -0.25 -2.51 1.15 1.78 -0.81 24 X Y 201410030057A
143.25 41.06 24 0.86 -0.05 -0.81 0.48 1.02 -0.24 25 X Y 201410110235A
143.42 41.01 31 1.33 -0.06 -1.28 0.59 1.43 -0.33 24 X Y 201410110520A
140.60 31.86 71 -2.21 1.43 0.78 -1.09 0.03 1.22 24 X Y 201410152353A
141.69 37.37 42 2.49 -0.27 -2.23 0.94 1.98 -0.80 24 X Y 201411200151A
137.88 36.76 12 2.03 -0.72 -1.31 -1.22 -0.25 -2.07 25 X Y 201411221308A
141.69 37.43 44 0.80 -0.14 -0.66 0.23 0.67 -0.30 25 X Y 201412200929A
143.22 39.78 22 0.86 -0.02 -0.84 0.62 1.16 -0.22 26 X Y 201502162306B
143.83 39.85 12 1.36 0.07 -1.43 0.66 1.77 -0.41 25 X Y 201502200425A
143.74 39.83 12 0.58 0.02 -0.60 0.36 0.78 -0.17 25 X Y 201502211013A
143.32 39.65 22 3.57 -0.20 -3.37 1.65 4.06 -0.82 24 X Y 201502240228A
141.93 30.99 13 0.65 0.04 -0.69 -0.09 0.35 0.13 25 X Y 201502250701A
139.94 31.47 12 4.44 -2.73 -1.72 -1.06 -2.81 -0.83 24 X Y 201505021650A
142.05 31.09 12 0.72 -0.01 -0.72 -0.04 0.25 0.00 25 X Y 201505102125A
142.29 38.89 44 1.37 -0.03 -1.34 0.68 1.30 -0.38 26 X Y 201505122112A
143.00 30.80 17 -2.62 0.67 1.95 -0.25 -0.42 -1.39 25 X Y 201505301849A
142.24 41.49 54 1.19 -0.06 -1.12 0.39 0.86 -0.37 25 X Y 201506080601A
143.64 39.66 22 3.16 -0.18 -2.98 1.32 2.78 -0.63 24 X Y 201506100833A
143.54 39.65 19 2.23 0.00 -2.23 0.64 3.23 -0.20 24 X Y 201506110445A
143.52 39.61 25 1.80 -0.06 -1.74 1.49 2.91 -0.41 24 X Y 201506110451A
148.12 43.93 54 2.18 0.07 -2.25 2.58 1.30 -0.73 25 X Y 201507070510A
141.44 40.43 87 2.13 -0.55 -1.58 0.53 -1.43 -1.59 24 X Y 201507091832A
131.77 33.04 58 0.14 -0.82 0.68 0.15 1.10 1.68 24 X Y 201507121752A
141.80 31.16 12 0.60 0.14 -0.74 -0.03 0.28 -0.12 25 X Y 201509011524A
